,geo_value,time_value,cases,deaths,doctor_visits,wili,wcli,doctor_visits_quantized,doctor_visits_randomized,doctor_visits_prior
111,25001,5/22/20,55,4,4.142257,0.4355596,0.4355596,6.0871614,24.3486456,6.0871614
112,25001,5/23/20,7,4,3.899183,0.4215374,0.4215374,6.0871614,6.0871614,12.1743228
113,25001,5/24/20,5,2,3.672173,0.1013938,0.1013938,6.0871614,48.6972912,6.0871614
114,25001,5/25/20,8,1,3.512687,0.07475,0.07475,6.0871614,42.6101298,48.6972912
115,25001,5/26/20,3,0,3.541966,0.0664954,0.0664954,6.0871614,60.871614,6.0871614
116,25001,5/27/20,6,1,3.148461,0.0668625,0.0668625,6.0871614,30.435807,6.0871614
117,25001,5/28/20,9,4,2.985026,0.0657977,0.0657977,6.0871614,48.6972912,54.7844526
118,25001,5/29/20,8,0,2.765126,0.0668515,0.0668515,6.0871614,6.0871614,6.0871614
119,25001,5/30/20,2,0,2.785983,0.068103,0.1949564,6.0871614,6.0871614,18.2614842
120,25001,5/31/20,7,1,2.948542,0.0697806,0.2029875,6.0871614,36.5229684,6.0871614
121,25001,6/1/20,112,2,3.015739,0,0.1378574,6.0871614,18.2614842,48.6972912
122,25001,6/2/20,6,0,2.849278,0,0.1259338,6.0871614,54.7844526,6.0871614
123,25001,6/3/20,5,3,2.518148,0.2709496,0.3896167,6.0871614,48.6972912,6.0871614
124,25001,6/4/20,8,0,2.179886,0.2710593,0.3897837,6.0871614,6.0871614,48.6972912
125,25001,6/5/20,3,2,1.78075,0.244812,0.3503205,6.0871614,54.7844526,6.0871614
126,25001,6/6/20,4,0,1.389717,0.2545473,0.2545473,6.0871614,30.435807,6.0871614
127,25001,6/7/20,6,0,1.104259,0.2501351,0.4379038,6.0871614,60.871614,6.0871614
128,25001,6/8/20,2,0,0.902338,0.2441138,0.429376,6.0871614,24.3486456,12.1743228
129,25001,6/9/20,4,0,0.996563,0.2373101,0.6609441,6.0871614,30.435807,12.1743228
130,25001,6/10/20,5,4,1.178006,0,0.4315219,6.0871614,6.0871614,48.6972912
131,25001,6/11/20,7,0,1.435168,0,0.4190332,6.0871614,54.7844526,12.1743228
132,25001,6/12/20,5,0,1.686719,0,0.4198524,6.0871614,36.5229684,6.0871614
133,25001,6/13/20,7,1,1.863528,0,0.4211973,6.0871614,18.2614842,48.6972912
134,25001,6/14/20,1,2,2.008723,0.1942229,0.4353863,6.0871614,60.871614,6.0871614
135,25001,6/15/20,2,0,2.090157,0.1971882,0.4397318,6.0871614,48.6972912,48.6972912
136,25001,6/16/20,5,1,2.240771,0.2143173,0.2143173,6.0871614,6.0871614,18.2614842
137,25001,6/17/20,3,2,2.712851,0.3843783,0.2235827,6.0871614,6.0871614,18.2614842
138,25001,6/18/20,5,2,2.874189,0.3711872,0.2148409,6.0871614,48.6972912,18.2614842
139,25001,6/19/20,6,1,3.113509,0.3703869,0.244021,6.0871614,30.435807,18.2614842
140,25001,6/20/20,5,0,3.329903,0.4883099,0.3619504,6.0871614,6.0871614,6.0871614
141,25001,6/21/20,2,1,3.595838,0.2536521,0.1238882,6.0871614,48.6972912,54.7844526
142,25001,6/22/20,2,1,3.801859,0.2527558,0.1233187,6.0871614,60.871614,6.0871614
143,25001,6/23/20,6,2,3.562946,0.2427587,0.1169665,6.0871614,6.0871614,6.0871614
144,25001,6/24/20,2,0,3.23366,0.1126822,0.1126822,6.0871614,12.1743228,18.2614842
145,25001,6/25/20,0,1,2.92918,0.1210188,0.1210188,6.0871614,18.2614842,18.2614842
146,25001,6/26/20,5,2,2.950315,0.1174522,0.1174522,6.0871614,6.0871614,18.2614842
147,25001,6/27/20,1,0,2.761292,0,0,6.0871614,6.0871614,54.7844526
148,25001,6/28/20,1,1,2.556301,0,0,6.0871614,54.7844526,48.6972912
149,25001,6/29/20,3,1,2.518598,0,0,6.0871614,6.0871614,6.0871614
150,25001,6/30/20,3,-1,2.973786,0,0,6.0871614,12.1743228,6.0871614
151,25001,7/1/20,4,1,3.991469,0,0,6.0871614,12.1743228,6.0871614
152,25001,7/2/20,5,2,4.052442,0,0,6.0871614,12.1743228,54.7844526
153,25001,7/3/20,6,1,3.850578,0,0,6.0871614,60.871614,12.1743228
154,25001,7/4/20,0,1,3.886418,0,0,6.0871614,18.2614842,6.0871614
155,25001,7/5/20,4,0,3.857191,0,0,6.0871614,54.7844526,48.6972912
156,25001,7/6/20,4,1,3.803174,0,0.1113798,6.0871614,60.871614,6.0871614
157,25001,7/7/20,0,0,3.858976,0,0.1098359,6.0871614,60.871614,6.0871614
158,25001,7/8/20,2,0,3.654018,0,0.1152995,6.0871614,54.7844526,48.6972912
159,25001,7/9/20,3,0,3.630491,0,0.1072211,6.0871614,42.6101298,12.1743228
160,25001,7/10/20,4,1,3.335275,0,0.1010001,6.0871614,6.0871614,6.0871614
161,25001,7/11/20,4,0,2.615263,0.0729168,0.1704958,6.0871614,60.871614,18.2614842
162,25001,7/12/20,4,0,2.104458,0.0698471,0.1609501,6.0871614,48.6972912,18.2614842
163,25001,7/13/20,4,0,1.78878,0.0698128,0.0698128,6.0871614,54.7844526,6.0871614
164,25001,7/14/20,4,1,2.213241,0.0712459,0.0712459,6.0871614,36.5229684,48.6972912
165,25001,7/15/20,7,0,2.365433,0.069572,0.069572,6.0871614,42.6101298,18.2614842
166,25001,7/16/20,3,0,2.281198,0.0713638,0.0713638,6.0871614,48.6972912,48.6972912
167,25001,7/17/20,7,1,2.840834,0.0721975,0.0721975,6.0871614,12.1743228,48.6972912
168,25001,7/18/20,9,1,3.903162,0.1035328,0.1035328,6.0871614,30.435807,12.1743228
169,25001,7/19/20,10,0,4.71165,0.1067175,0.1067175,6.0871614,24.3486456,48.6972912
170,25001,7/20/20,13,0,5.31468,0.4193235,0.4193235,6.0871614,54.7844526,54.7844526
171,25001,7/21/20,4,0,5.489379,0.6270055,0.6270055,6.0871614,6.0871614,6.0871614
172,25001,7/22/20,5,0,4.925744,1.0200528,1.0200528,6.0871614,42.6101298,54.7844526
173,25001,7/23/20,24,1,4.130643,0.9759644,0.9759644,6.0871614,36.5229684,54.7844526
174,25001,7/24/20,12,0,3.715066,0.9275852,0.9275852,6.0871614,12.1743228,6.0871614
175,25001,7/25/20,4,0,3.147908,0.7870929,0.7870929,6.0871614,30.435807,48.6972912
176,25001,7/26/20,9,0,2.784984,0.7656376,0.7656376,6.0871614,12.1743228,6.0871614
177,25001,7/27/20,5,0,2.555842,0.5520078,0.5520078,6.0871614,6.0871614,18.2614842
178,25001,7/28/20,20,0,2.709791,0.3735812,0.3735812,6.0871614,48.6972912,18.2614842
179,25001,7/29/20,13,0,2.837571,0,0.4994999,6.0871614,54.7844526,18.2614842
180,25001,7/30/20,11,1,2.700667,0.2134187,0.7129186,6.0871614,18.2614842,12.1743228
181,25001,7/31/20,3,0,2.610868,0.2125452,0.712045,6.0871614,30.435807,6.0871614
182,25001,8/1/20,10,0,2.749723,0.2248635,0.7243634,6.0871614,48.6972912,48.6972912
183,25001,8/2/20,2,1,2.874871,0.2208773,0.7203771,6.0871614,24.3486456,6.0871614
184,25001,8/3/20,7,0,3.001614,0.2218222,0.7213221,6.0871614,60.871614,54.7844526
185,25001,8/4/20,6,0,3.430723,0.2208153,0.642878,6.0871614,6.0871614,12.1743228
186,25001,8/5/20,8,0,3.904432,0.2215922,0.2215922,6.0871614,12.1743228,6.0871614
187,25001,8/6/20,5,0,4.143183,0,0,6.0871614,36.5229684,12.1743228
188,25001,8/7/20,11,0,4.333007,0,0,6.0871614,24.3486456,54.7844526
189,25001,8/8/20,4,1,4.408019,0,0,6.0871614,6.0871614,6.0871614
190,25001,8/9/20,2,0,4.432578,0,0,6.0871614,18.2614842,6.0871614
191,25001,8/10/20,2,0,4.371654,0,0,6.0871614,6.0871614,6.0871614
192,25001,8/11/20,1,0,4.37368,0,0,6.0871614,6.0871614,18.2614842
193,25001,8/12/20,0,0,4.35655,0,0,6.0871614,36.5229684,6.0871614
194,25001,8/13/20,0,0,4.080434,0,0,6.0871614,48.6972912,12.1743228
